vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
,NSW Elective Learning Outcomes,,NSW Elective Learning Outcomes,NSW Elective Learning Outcomes,,,,,
,NSW Music Continuum,NSW Elective Learning Outcomes,NSW Music Continuum Outcomes,NSW Music Continuum Outcomes,,,,,
,NSW Dance Continuum,NSW Elective Learning Outcomes,NSW Dance Continuum Outcomes,NSW Dance Continuum Outcomes,,,,,
,NSW Visual Arts Continuum,NSW Elective Learning Outcomes,NSW Visual Arts Continuum,NSW Visual Arts Continuum,,,,,
,NSW Drama Continuum,NSW Elective Learning Outcomes,NSW Drama Continuum Outcomes,NSW Drama Continuum Outcomes,,,,,
,NSW P.D.H.P.E. Continuum,NSW Elective Learning Outcomes,NSW P.D.H.P.E. Continuum Outcomes,NSW P.D.H.P.E. Continuum Outcomes,,,,,
,NSW Japanese Continuum,NSW Elective Learning Outcomes,NSW Japanese Continuum Outcomes,NSW Japanese Continuum Outcomes,,,,,
,NSW Photography and Digital Media Continuum,NSW Elective Learning Outcomes,NSW Photography and Digital Media Continuum Outcomes,NSW Photography and Digital Media Continuum Outcomes,,,,,
,NSW Information and Software Technology Continuum,NSW Elective Learning Outcomes,NSW Information and Software Technology Continuum Outcomes,NSW Information and Software Technology Continuum Outcomes,,,,,
,NSW Technology Mandatory Continuum,NSW Elective Learning Outcomes,NSW Technology (Mandatory) Continuum Outcomes,NSW Technology (Mandatory) Continuum Outcomes,,,,,
,NSW Industrial Technology Continuum,NSW Elective Learning Outcomes,NSW Industrial Technology Continuum Outcomes,NSW Industrial Technology Continuum Outcomes,,,,,
,NSW Textiles Technology Continuum,NSW Elective Learning Outcomes,NSW Textiles Technology Continuum Outcomes,NSW Textiles Technology Continuum Outcomes,,,,,
,NSW Food Technology Continuum,NSW Elective Learning Outcomes,NSW Food Technology Continuum Outcomes,NSW Food Technology Continuum Outcomes,,,,,
Music P4.1,Stage 4-Performing Music,NSW Music Continuum,Music P4.1,performs in a range of musical; styleas demonstrating an understanding of musical concepts,decaying_average,65,1,Not Yet Achieved,Achieved
Music P4.2,Stage 4-Performing Music,NSW Music Continuum,Music P4.2,performs music using different forms of notation and different types of technology across a broad range of musical styles,decaying_average,65,1,Not Yet Achieved,Achieved
Music P4.3,Stage 4-Performing Music,NSW Music Continuum,Music P4.3,performs music demonstrating solo and/or ensemble awareness,decaying_average,65,1,Not Yet Achieved,Achieved
Music C4.4,Stage 4-Performing Music,NSW Music Continuum,Music C4.4,"demonstrates an understanding of musical concepts through exploring, experimenting, improvising, organising, arranging and composing",decaying_average,65,1,Not Yet Achieved,Achieved
Music C4.5,Stage 4-Performing Music,NSW Music Continuum,Music C4.5,"notates compositions using traditional and/or non,traditional notation",decaying_average,65,1,Not Yet Achieved,Achieved
Music C4.6,Stage 4-Performing Music,NSW Music Continuum,Music C4.6,experiments with different forms of technology in the composition process,decaying_average,65,1,Not Yet Achieved,Achieved
Music L4.7,Stage 4-Listening Music,NSW Music Continuum,Music L4.7,"demonstrates an understanding of the musical concepts through listening, observing, responding, discriminating, analysing, discussing and recording musical ideas",decaying_average,65,1,Not Yet Achieved,Achieved
Music L4.8,Stage 4-Listening Music,NSW Music Continuum,Music L4.8,demonstrates an understanding of musical concepts through aural identification and discussion of the features of a range of repertoire,decaying_average,65,1,Not Yet Achieved,Achieved
Music L4.9,Stage 4-Listening Music,NSW Music Continuum,Music L4.9,"demonstrates musical literacy through the use of notation, terminology, and the reading and interpreting of scores used in the music selected for study",decaying_average,65,1,Not Yet Achieved,Achieved
Music L4.10,Stage 4-Listening Music,NSW Music Continuum,Music L4.10,"identifies the use of technology in the music selected for study, appropriate to the musical context",decaying_average,65,1,Not Yet Achieved,Achieved
Music P5.1,Stage 5-Performing Music,NSW Music Continuum,Music P5.1,performs repertoire with increasing levels of complexity in a arange or musical styles demonstrating an understanding of the musical concepts,decaying_average,65,1,Not Yet Achieved,Achieved
Music P5.2,Stage 5-Performing Music,NSW Music Continuum,Music P5.2,performs repertoire in a range of styles and genres demonstrating interpretation of musical notation and the application of different types of technology,decaying_average,65,1,Not Yet Achieved,Achieved
Music P5.3,Stage 5-Performing Music,NSW Music Continuum,Music P5.3,performs music selected for study with appropriate stylistic features demonstrating solo and ensemble awareness,decaying_average,65,1,Not Yet Achieved,Achieved
Music C5.4,Stage 5-Composing Music,NSW Music Continuum,Music C5.4,"demonstrates an understanding of the musical concepts through improvising, arranging and composing in the styles or genres of music selected for study",decaying_average,65,1,Not Yet Achieved,Achieved
Music C5.5,Stage 5-Composing Music,NSW Music Continuum,Music C5.5,"notates own compositions, applying forms of notation appropriate to the music selected for study",decaying_average,65,1,Not Yet Achieved,Achieved
Music C5.6,Stage 5-Composing Music,NSW Music Continuum,Music C5.6,uses different forms of technology in the composition process,decaying_average,65,1,Not Yet Achieved,Achieved
Music L5.7,Stage 5-Listening Music,NSW Music Continuum,Music L5.7,"demonstrates an understanding of musical concepts through the analysis, comparison, and critical discussion of music from different stylistic, social, cultural and historical contexts",decaying_average,65,1,Not Yet Achieved,Achieved
Music L5.8,Stage 5-Listening Music,NSW Music Continuum,Music L5.8,"demonstrates an understanding of musical concepts through aural identification, discrimination, memorisation and notationg in the music selected for study",decaying_average,65,1,Not Yet Achieved,Achieved
Music L5.9,Stage 5-Listening Music,NSW Music Continuum,Music L5.9,"demonstrates an understanding of musical literacy through the appropriate application of notation, terminology, and the interpretation and anlaysis of scors used in the music selected for study",decaying_average,65,1,Not Yet Achieved,Achieved
Music L5.10,Stage 5-Listening Music,NSW Music Continuum,Music L5.10,demonstrates an understanding of the influence and impact of technology on music,decaying_average,65,1,Not Yet Achieved,Achieved
Music P1,Stage 6-Preliminary Music,NSW Music Continuum,Music P1,performs music that is characteristic of the topics studied,decaying_average,65,1,Not Yet Achieved,Achieved
Music P2,Stage 6-Preliminary Music,NSW Music Continuum,Music P2,"observes, reads, interprets and discusses simple musical scores characteristic of topics studied",decaying_average,65,1,Not Yet Achieved,Achieved
Music P3,Stage 6-Preliminary Music,NSW Music Continuum,Music P3,"improvises and creates melodies, harmonies and rhythmic accompaniments for familiar sound sources reflecting the cultural and historical contexts studied.",decaying_average,65,1,Not Yet Achieved,Achieved
