vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
,NSW Literacy Continuum,,NSW Literacy Continuum,NSW Literacy Continuum Outcomes,,,,,
,Comprehension,NSW Literacy Continuum,Comprehension,,,,,,
,Aspects of Writing,NSW Literacy Continuum,Aspects of Writing,,,,,,
,Reading Texts,NSW Literacy Continuum,Reading Texts,,,,,,
CRT1.1,Cluster 1 - Reading Texts,Reading Texts,CRT1.1,Recognises own name.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT1.2,Cluster 1 - Reading Texts,Reading Texts,CRT1.2,Engages in shared reading of familiar texts with repeated language patterns.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT1.3,Cluster 1 - Reading Texts,Reading Texts,CRT1.3,Spends time looking at books and other print material.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT1.4,Cluster 1 - Reading Texts,Reading Texts,CRT1.4,Tells a story based on pictures or names pictures.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT1.5,Cluster 1 - Reading Texts,Reading Texts,CRT1.5,"Attempts to read words in the environment, e.g. billboards, signs.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT10.1,Cluster 10 - Reading Texts,Reading Texts,CRT10.1,"Reads short novels with minimal illustration, unfamiliar content, settings and characters and challenging and unusual vocabulary.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT10.2,Cluster 10 - Reading Texts,Reading Texts,CRT10.2,Adjusts rate of reading to suit text complexity and reading purpose.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT10.3,Cluster 10 - Reading Texts,Reading Texts,CRT10.3,"Uses more sophisticated word identification strategies to maintain word and sentence level fluency and create meaning, e.g. use of homonym, syllabification, analogy.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT10.4,Cluster 10 - Reading Texts,Reading Texts,CRT10.4,"Uses topic knowledge, vocabulary knowledge and context to read unknown words when engaging with subject texts.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT10.5,Cluster 10 - Reading Texts,Reading Texts,CRT10.5,"Chooses a reading path appropriate to the text (literary, factual, electronic) and navigates multimodal texts appropriate to the purpose.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT11.1,Cluster 11 - Reading Texts,Reading Texts,CRT11.1,"Reads for sustained periods (20-30 minutes) and sustains understanding in longer texts over time, e.g. reading short novels over several days",decaying_average,65,1,Not Yet Achieved,Achieved
CRT11.2,Cluster 11 - Reading Texts,Reading Texts,CRT11.2,"Confidently engages with a wide range of authentic texts, e.g. newspapers, TV documentaries, websites and chooses reading pathways appropriate to the purpose for reading/viewing.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT11.3,Cluster 11 - Reading Texts,Reading Texts,CRT11.3,"Monitors reading for accuracy and meaning and adjusts reading when difficulties are encountered, e.g. adjusts speed, rereads and attends to most important information",decaying_average,65,1,Not Yet Achieved,Achieved
CRT11.4,Cluster 11 - Reading Texts,Reading Texts,CRT11.4,Manipulates multiple texts that include a variety of purposes and modes to locate information for a specific purpose.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT11.5,Cluster 11 - Reading Texts,Reading Texts,CRT11.5,"Uses text navigation skills such as skimming and scanning to efficiently locate specific information in literary, factual and electronic texts.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT12.1,Cluster 12 - Reading Texts,Reading Texts,CRT12.1,Reads increasingly longer novels and subject texts using a range of effective word identification strategies to maintain meaning.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT12.2,Cluster 12 - Reading Texts,Reading Texts,CRT12.2,"Reads, views and uses a wide variety of literary and factual, print and electronic texts with increasing autonomy, e.g. extended novels and information texts, video documentaries, multimedia and performance texts, graphic material.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT12.3,Cluster 12 - Reading Texts,Reading Texts,CRT12.3,Reads more demanding subject texts that have increasing levels of technicality and abstraction.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT12.4,Cluster 12 - Reading Texts,Reading Texts,CRT12.4,Monitors reading for accuracy and meaning by selecting and using appropriate higher order word identification skills such as knowledge of word origins and analogy.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT12.5,Cluster 12 - Reading Texts,Reading Texts,CRT12.5,"Confidently adjusts the chosen reading/ viewing pathway to achieve the intended purpose in literary and factual, print, electronic and multimodal texts.",decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.1,Cluster 13 - Reading Texts,Reading Texts,CRT13.1,Reads for sustained periods (30+ minutes) and maintains meaning in longer texts or across a variety of texts on a single topic over time.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.2,Cluster 13 - Reading Texts,Reading Texts,CRT13.2,Adjusts reading rate appropriate to subject content and purpose.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.3,Cluster 13 - Reading Texts,Reading Texts,CRT13.3,Applies technical vocabulary and content knowledge to create meaning when reading subject texts of increasing abstraction.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.4,Cluster 13 - Reading Texts,Reading Texts,CRT13.4,Selects and reads texts in ways that best meet requirements of a task.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.5,Cluster 13 - Reading Texts,Reading Texts,CRT13.5,Uses multiple reading pathways in a range of complex texts to locate and assemble information.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.6,Cluster 13 - Reading Texts,Reading Texts,CRT13.6,Applies and further develops monitoring and selfcorrecting strategies in subject contexts,decaying_average,65,1,Not Yet Achieved,Achieved
CRT13.7,Cluster 13 - Reading Texts,Reading Texts,CRT13.7,Applies and further develops fluent and expressive reading skills in subject contexts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT14.1,Cluster 14 - Reading Texts,Reading Texts,CRT14.1,Reads a wide range of increasingly complex subject texts for sustained periods.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT14.2,Cluster 14 - Reading Texts,Reading Texts,CRT14.2,Selects suitable reading pathways to engage with new content.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT14.3,Cluster 14 - Reading Texts,Reading Texts,CRT14.3,Identifies multiple purposes for which texts are constructed.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT15.1,Cluster 14 - Reading Texts,Reading Texts,CRT15.1,Independently selects and reads an increasing volume and range of complex texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT15.2,Cluster 14 - Reading Texts,Reading Texts,CRT15.2,Strategically navigates texts with speed and efficiency,decaying_average,65,1,Not Yet Achieved,Achieved
CRT16.1,Cluster 14 - Reading Texts,Reading Texts,CRT16.1,Strategically navigates an extensive volume of texts for a complex task,decaying_average,65,1,Not Yet Achieved,Achieved
CRT2.1,Cluster 2 - Reading Texts,Reading Texts,CRT2.1,Reads one or two words in environmental print/texts.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT2.2,Cluster 2 - Reading Texts,Reading Texts,CRT2.2,Reads some words in a sentence correctly.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT2.3,Cluster 2 - Reading Texts,Reading Texts,CRT2.3,Holds a book the right way up.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT2.4,Cluster 2 - Reading Texts,Reading Texts,CRT2.4,Differentiates between writing and pictures.,decaying_average,65,1,Not Yet Achieved,Achieved
CRT2.5,Cluster 2 - Reading Texts,Reading Texts,CRT2.5,"Points to words using one-to-one correspondence when ""reading"".",decaying_average,65,1,Not Yet Achieved,Achieved
