vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
,NSW Numeracy Continuum,,NSW Numeracy Continuum,,,,,,
,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,Aspect 1-Counting sequences - verbal and written labels,,,,,,
,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,,,,,,
,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,Aspect 3-Pattern and number structure,,,,,,
,Aspect 4- Place value,NSW Numeracy Continuum,Aspect 4- Place value,,,,,,
,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,Aspect 5- Multiplication and Division,,,,,,
,Aspect 6- Fraction Units,NSW Numeracy Continuum,Aspect 6- Fraction Units,,,,,,
,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,"Aspect 7-Unit Structure of length, area and volume",,,,,,
CCS1.1.1.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.1.1 - cannot count to 10,cannot count to 10,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.2.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.2.1 - counts to 10,counts to 10,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.2.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.2.2 - cannot say the number word just after a given number word in the range 1-10,cannot say the number word just after a given number word in the range 1-10,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.2.3,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.2.3 - dropping back to one does not appear at this level,dropping back to one does not appear at this level,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.3.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.3.2 - says the number word just after a given number word but drops back to one when doing so,says the number word just after a given number word but drops back to one when doing so,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.4.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.4.2 - says the number word just after a given number word in the range 1-10 without dropping back,says the number word just after a given number word in the range 1-10 without dropping back,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.5.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.5.1 - counts to 30,counts to 30,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.5.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.5.2 - says the number word just after a given number word in the range 1-30 without dropping back,says the number word just after a given number word in the range 1-30 without dropping back,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.6.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.6.1 - counts to 100,counts to 100,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.6.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.6.2 - says the number word just after a given number word in the range 1-100 without dropping back,says the number word just after a given number word in the range 1-100 without dropping back,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.1.7.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.1.7.1 - counts beyond 100,counts beyond 100,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.1.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.1.1 - cannot count backwards from 10-1,cannot count backwards from 10-1,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.2.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.2.2 - counts backwards from 10-1,counts backwards from 10-1,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.2.3,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.2.3 - cannot say the number word just before a given number word in the range 1-10,cannot say the number word just before a given number word in the range 1-10,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.2.4,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.2.4 - dropping back to one does not appear at this level,dropping back to one does not appear at this level,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.3.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.3.1 - counts backwards from 10-1,counts backwards from 10-1,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.3.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.2.3.2 - says the number word just before a given number word in the range 1-10, but drops back to one when doing so","says the number word just before a given number word in the range 1-10, but drops back to one when doing so",decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.4.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.4.1 - counts backwards from 10-1,counts backwards from 10-1,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.4.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.4.2 - says the number word just before a given number word in the range 1-10 without dropping back,says the number word just before a given number word in the range 1-10 without dropping back,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.5.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.5.1 - counts backwards from 30-1,counts backwards from 30-1,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.5.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.5.2 - says the number word just before a given number word in the range 1-30 without dropping back,says the number word just before a given number word in the range 1-30 without dropping back,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.6.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.6.1 - counts backwards from 100-1,counts backwards from 100-1,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.6.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.6.2 - says the number word just before a given number word in the range 1-100 without dropping back,says the number word just before a given number word in the range 1-100 without dropping back,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.2.7.3,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.2.7.3 - counts backwards from any number,counts backwards from any number,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.3.1.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.3.1.1 - may identify some, but not all numerals in the range 1-10","may identify some, but not all numerals in the range 1-10",decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.3.3.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.3.3.1 - identifies all numerals in the range 1-10,identifies all numerals in the range 1-10,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.3.5.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.3.5.1 - identifies all numerals in the range 1-20,identifies all numerals in the range 1-20,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.3.6.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.3.6.1 - identifies numerals in the range 1-100,identifies numerals in the range 1-100,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.3.7.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.3.7.1 - identifies numerals in the range 1-1000,identifies numerals in the range 1-1000,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.3.8.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,CCS1.3.8.1 - identifies numerals in the range 1-10 000,identifies numerals in the range 1-10 000,decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.4.6.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.4.6.1 - counts forwards and backwards by 10s to 100, e.g. 10, 20, and 100","counts forwards and backwards by 10s to 100, e.g. 10, 20, and 100",decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.4.6.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.4.6.2 - counts forwards and backwards by 100s to 1000, e.g. 100, 200, and 1000","counts forwards and backwards by 100s to 1000, e.g. 100, 200, and 1000",decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.4.7.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.4.7.1 - counts forwards and backwards by 10s and 5s, off the decade to 100, e.g. 2, 12, 22 and 92","counts forwards and backwards by 10s and 5s, off the decade to 100, e.g. 2, 12, 22 an 92",decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.4.8.1,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.4.8.1 - counts forwards and backwards by 10s, off the decade in the range 1-1000, e.g. 367, 377, 387, and ","counts forwards and backwards by 10s, off the decade in the range 1-1000, e.g. 367, 377, 387, etc",decaying_average,65,1,Not Yet Achieved,Achieved
CCS1.4.8.2,Aspect 1-Counting sequences - verbal and written labels,NSW Numeracy Continuum,"CCS1.4.8.2 - counts forwards and backwards by 100s, off the 100, and on or off the decade to 10 000, e.g. 24, 124, 224, and 924","counts forwards and backwards by 100s, off the 100, and on or off the decade to 10 000, e.g. 24, 124, 224, and 924",decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.1.1.1,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.1.1.1 - cannot count visible items,cannot count visible items,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.1.1.2,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.1.1.2 - does no know the number words or cannot coordinate the number words to count items,does no know the number words or cannot coordinate the number words to count items,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.1.1.3,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.1.1.3 - cannot count visible items,cannot count visible items,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.2.1.1,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.2.1.1 - counts visible items to find the total count,counts visible items to find the total count,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.2.1.2,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.2.1.2 - builds and subtracts numbers by using materials or fingers to represent each number,builds and subtracts numbers by using materials or fingers to represent each number,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.2.1.3,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.2.1.3 - counts visible items to find the total count,counts visible items to find the total count,decaying_average,65,1,Not Yet Achieved,Achieved
PN1.1.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.1.1.1 - cannot effortlessly and immediately identify small quantities (subitise),cannot effortlessly and immediately identify small quantities (subitise),decaying_average,65,1,Not Yet Achieved,Achieved
PN1.1.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.1.1.2 - cannot effortlessly and immediately identify small quantities (subitise),cannot effortlessly and immediately identify small quantities (subitise),decaying_average,65,1,Not Yet Achieved,Achieved
PN1.2.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.2.1.1 - subitises small numbers,subitises small numbers,decaying_average,65,1,Not Yet Achieved,Achieved
PN1.2.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.2.1.2 - subitises small numbers,subitises small numbers,decaying_average,65,1,Not Yet Achieved,Achieved
PN1.3.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"PN1.3.1.1 - recognises, describes and continues a repeated pattern","recognises, describes and continues a repeated pattern",decaying_average,65,1,Not Yet Achieved,Achieved
PN1.3.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"PN1.3.1.2 - recognises, describes and continues a repeated pattern","recognises, describes and continues a repeated pattern",decaying_average,65,1,Not Yet Achieved,Achieved
PN1.4.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.4.1.1 - creates a pattern of repeated units of a specified size,creates a pattern of repeated units of a specified size,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.1.1.1,Aspect 4- Place value,NSW Numeracy Continuum,PV1.1.1.1 - counts on but uses single units of one or ten in counting strategies,counts on but uses single units of one or ten in counting strategies,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.1.1.2,Aspect 4- Place value,NSW Numeracy Continuum,PV1.1.1.2 - counts on but uses single units of one or ten in counting strategies,counts on but uses single units of one or ten in counting strategies,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.1.1.3,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.1.1.3 - knows the sequence of multipls of ten, i.e. 10, 20, 30 and as a sequences count","knows the sequence of multipls of ten, i.e. 10, 20, 30 and as a sequences count",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.1.1.4,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.1.1.4 - knows the sequence of multipls of ten, i.e. 10, 20, 30 and as a sequences count","knows the sequence of multipls of ten, i.e. 10, 20, 30 and as a sequences count",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.1.1.5,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.1.1.5 - treats ten as something constructed of ten ones, but one ten and ten ones do not exist for the student at the same time","treats ten as something constructed of ten ones, but one ten and ten ones do not exist for the student at the same time",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.1.1.6,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.1.1.6 - treats ten as something constructed of ten ones, but one ten and ten ones do not exist for the student at the same time","treats ten as something constructed of ten ones, but one ten and ten ones do not exist for the student at the same time",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.2.1.1,Aspect 4- Place value,NSW Numeracy Continuum,PV1.2.1.1 - counts by tens and ones from the middle of the decade to find the total or difference of two 2-digit numbers where one of the numbers is represented by materials,counts by tens and ones from the middle of the decade to find the total or difference of two 2-digit numbers where one of the numbers is represented by materials,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.2.1.2,Aspect 4- Place value,NSW Numeracy Continuum,PV1.2.1.2 - counts by tens and ones from the middle of the decade to find the total or difference of two 2-digit numbers where one of the numbers is represented by materials,counts by tens and ones from the middle of the decade to find the total or difference of two 2-digit numbers where one of the numbers is represented by materials,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.2.1.3,Aspect 4- Place value,NSW Numeracy Continuum,PV1.2.1.3 - treats ten as a single unit while still recognising that it contains ten ones (abstract composite unit),treats ten as a single unit while still recognising that it contains ten ones (abstract composite unit),decaying_average,65,1,Not Yet Achieved,Achieved
PV1.2.1.4,Aspect 4- Place value,NSW Numeracy Continuum,PV1.2.1.4 - treats ten as a single unit while still recognising that it contains ten ones (abstract composite unit),treats ten as a single unit while still recognising that it contains ten ones (abstract composite unit),decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.1.1,Aspect 4- Place value,NSW Numeracy Continuum,PV1.3.1.1 - treats ten as a unit that can be repeatedly constructed in place of ten individual counts. Tens and ones are flexibly regrouped. ,treats ten as a unit that can be repeatedly constructed in place of ten individual counts. Tens and ones are flexibly regrouped. ,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.3.1.2,Aspect 4- Place value,NSW Numeracy Continuum,PV1.3.1.2 - treats ten as a unit that can be repeatedly constructed in place of ten individual counts. Tens and ones are flexibly regrouped. ,treats ten as a unit that can be repeatedly constructed in place of ten individual counts. Tens and ones are flexibly regrouped. ,decaying_average,65,1,Not Yet Achieved,Achieved
